time_period,scenario,series_name,average_normalised_score,average_normalised_score_p05,average_normalised_score_p95,routes_used,characteristics_used
73,solar,solar_avg,0.611050,0.491798,0.710065,3,8
73,nuclear,nuclear_avg,0.721735,0.496262,0.810377,3,8
73,fusion,fusion_avg,0.748434,0.624108,0.835271,3,8
74,solar,solar_avg,0.613884,0.511559,0.710064,3,8
74,nuclear,nuclear_avg,0.721464,0.496844,0.810114,3,8
74,fusion,fusion_avg,0.751089,0.645541,0.836049,3,8
75,solar,solar_avg,0.613533,0.527094,0.702765,3,8
75,nuclear,nuclear_avg,0.722220,0.513085,0.804315,3,8
75,fusion,fusion_avg,0.749933,0.659334,0.829297,3,8
76,solar,solar_avg,0.589276,0.502001,0.683185,3,8
76,nuclear,nuclear_avg,0.691956,0.508288,0.785822,3,8
76,fusion,fusion_avg,0.717417,0.621788,0.809554,3,8
77,solar,solar_avg,0.592626,0.490370,0.681121,3,8
77,nuclear,nuclear_avg,0.694351,0.491068,0.782973,3,8
77,fusion,fusion_avg,0.721291,0.611405,0.806278,3,8
78,solar,solar_avg,0.615456,0.517599,0.713932,3,8
78,nuclear,nuclear_avg,0.719995,0.500205,0.813189,3,8
78,fusion,fusion_avg,0.747190,0.644248,0.838519,3,8
79,solar,solar_avg,0.607850,0.494908,0.707297,3,8
79,nuclear,nuclear_avg,0.716460,0.492227,0.809113,3,8
79,fusion,fusion_avg,0.744502,0.539355,0.833228,3,8
80,solar,solar_avg,0.614122,0.504743,0.716657,3,8
80,nuclear,nuclear_avg,0.719128,0.496855,0.817334,3,8
80,fusion,fusion_avg,0.748975,0.633132,0.841898,3,8
81,solar,solar_avg,0.611000,0.495753,0.714555,3,8
81,nuclear,nuclear_avg,0.719795,0.488596,0.814475,3,8
81,fusion,fusion_avg,0.747281,0.624902,0.840338,3,8
82,solar,solar_avg,0.609531,0.502487,0.714338,3,8
82,nuclear,nuclear_avg,0.717652,0.494481,0.815406,3,8
82,fusion,fusion_avg,0.745052,0.632721,0.839998,3,8
83,solar,solar_avg,0.590772,0.497720,0.684061,3,8
83,nuclear,nuclear_avg,0.692206,0.505426,0.786414,3,8
83,fusion,fusion_avg,0.719616,0.616001,0.809634,3,8
84,solar,solar_avg,0.594790,0.495066,0.682387,3,8
84,nuclear,nuclear_avg,0.696969,0.496783,0.784652,3,8
84,fusion,fusion_avg,0.724057,0.615073,0.807508,3,8
85,solar,solar_avg,0.615194,0.501995,0.710614,3,8
85,nuclear,nuclear_avg,0.718182,0.492652,0.811476,3,8
85,fusion,fusion_avg,0.745021,0.616757,0.835226,3,8
86,solar,solar_avg,0.610039,0.503802,0.714007,3,8
86,nuclear,nuclear_avg,0.718948,0.491970,0.815364,3,8
86,fusion,fusion_avg,0.746741,0.632791,0.840244,3,8
87,solar,solar_avg,0.610442,0.516279,0.707189,3,8
87,nuclear,nuclear_avg,0.719210,0.428290,0.807128,3,8
87,fusion,fusion_avg,0.749231,0.646505,0.833202,3,8
88,solar,solar_avg,0.607206,0.510167,0.722992,3,8
88,nuclear,nuclear_avg,0.717568,0.503905,0.823841,3,8
88,fusion,fusion_avg,0.744865,0.599425,0.849246,3,8
89,solar,solar_avg,0.611480,0.509911,0.712238,3,8
89,nuclear,nuclear_avg,0.721640,0.489621,0.808757,3,8
89,fusion,fusion_avg,0.749500,0.638363,0.838177,3,8
90,solar,solar_avg,0.595353,0.502262,0.684811,3,8
90,nuclear,nuclear_avg,0.698244,0.431201,0.785084,3,8
90,fusion,fusion_avg,0.725343,0.621713,0.809332,3,8
91,solar,solar_avg,0.593455,0.506539,0.670630,3,8
91,nuclear,nuclear_avg,0.695353,0.331969,0.772708,3,8
91,fusion,fusion_avg,0.719393,0.573237,0.797763,3,8
92,solar,solar_avg,0.616780,0.503345,0.712055,3,8
92,nuclear,nuclear_avg,0.719147,0.403481,0.810237,3,8
92,fusion,fusion_avg,0.746297,0.633970,0.835822,3,8
93,solar,solar_avg,0.609359,0.490703,0.712178,3,8
93,nuclear,nuclear_avg,0.716996,0.393333,0.811526,3,8
93,fusion,fusion_avg,0.745868,0.627781,0.837539,3,8
94,solar,solar_avg,0.614302,0.498957,0.710222,3,8
94,nuclear,nuclear_avg,0.723220,0.582875,0.810015,3,8
94,fusion,fusion_avg,0.751583,0.638523,0.836138,3,8
95,solar,solar_avg,0.611595,0.519953,0.705482,3,8
95,nuclear,nuclear_avg,0.720279,0.604661,0.805986,3,8
95,fusion,fusion_avg,0.746559,0.654319,0.831333,3,8
96,solar,solar_avg,0.611414,0.527398,0.705479,3,8
96,nuclear,nuclear_avg,0.721253,0.583814,0.805051,3,8
96,fusion,fusion_avg,0.748627,0.650461,0.830876,3,8
97,solar,solar_avg,0.588399,0.504684,0.680682,3,8
97,nuclear,nuclear_avg,0.692247,0.533999,0.781946,3,8
97,fusion,fusion_avg,0.718571,0.622005,0.805837,3,8
98,solar,solar_avg,0.594482,0.500660,0.679200,3,8
98,nuclear,nuclear_avg,0.696016,0.530340,0.780880,3,8
98,fusion,fusion_avg,0.725000,0.616966,0.804726,3,8
99,solar,solar_avg,0.618080,0.515574,0.715228,3,8
99,nuclear,nuclear_avg,0.720083,0.530426,0.812607,3,8
99,fusion,fusion_avg,0.748456,0.641219,0.838836,3,8
100,solar,solar_avg,0.610994,0.487174,0.708321,3,8
100,nuclear,nuclear_avg,0.719670,0.454726,0.807534,3,8
100,fusion,fusion_avg,0.747850,0.544041,0.835613,3,8
101,solar,solar_avg,0.611215,0.480935,0.708468,3,8
101,nuclear,nuclear_avg,0.721664,0.502712,0.808724,3,8
101,fusion,fusion_avg,0.748535,0.544282,0.835224,3,8
102,solar,solar_avg,0.610642,0.487858,0.710179,3,8
102,nuclear,nuclear_avg,0.720029,0.505128,0.810865,3,8
102,fusion,fusion_avg,0.747978,0.614495,0.836205,3,8
103,solar,solar_avg,0.613744,0.495076,0.713839,3,8
103,nuclear,nuclear_avg,0.724692,0.512111,0.810701,3,8
103,fusion,fusion_avg,0.749031,0.575005,0.839358,3,8
104,solar,solar_avg,0.594826,0.508147,0.682434,3,8
104,nuclear,nuclear_avg,0.698920,0.533615,0.784649,3,8
104,fusion,fusion_avg,0.725003,0.549625,0.807726,3,8
105,solar,solar_avg,0.595623,0.504727,0.684906,3,8
105,nuclear,nuclear_avg,0.698738,0.529910,0.786747,3,8
105,fusion,fusion_avg,0.724118,0.519490,0.811703,3,8
106,solar,solar_avg,0.615920,0.495275,0.719437,3,8
106,nuclear,nuclear_avg,0.719467,0.571865,0.817208,3,8
106,fusion,fusion_avg,0.746096,0.518966,0.843980,3,8
107,solar,solar_avg,0.607244,0.512252,0.720705,3,8
107,nuclear,nuclear_avg,0.717049,0.602219,0.821865,3,8
107,fusion,fusion_avg,0.743144,0.533027,0.846155,3,8
108,solar,solar_avg,0.610684,0.512146,0.710256,3,8
108,nuclear,nuclear_avg,0.720918,0.595848,0.810156,3,8
108,fusion,fusion_avg,0.745934,0.529515,0.836766,3,8
109,solar,solar_avg,0.611023,0.478394,0.712762,3,8
109,nuclear,nuclear_avg,0.721567,0.474875,0.811806,3,8
109,fusion,fusion_avg,0.749690,0.449799,0.838252,3,8
110,solar,solar_avg,0.613814,0.484429,0.709230,3,8
110,nuclear,nuclear_avg,0.722012,0.374929,0.808388,3,8
110,fusion,fusion_avg,0.749705,0.511923,0.835043,3,8
111,solar,solar_avg,0.595668,0.504997,0.671631,3,8
111,nuclear,nuclear_avg,0.699973,0.411146,0.773666,3,8
111,fusion,fusion_avg,0.726444,0.620315,0.797464,3,8
112,solar,solar_avg,0.593654,0.498868,0.683314,3,8
112,nuclear,nuclear_avg,0.695933,0.397587,0.783036,3,8
112,fusion,fusion_avg,0.721760,0.617010,0.809381,3,8
113,solar,solar_avg,0.618813,0.486723,0.709030,3,8
113,nuclear,nuclear_avg,0.721752,0.386105,0.807976,3,8
113,fusion,fusion_avg,0.747463,0.614737,0.832470,3,8
114,solar,solar_avg,0.609665,0.514622,0.716270,3,8
114,nuclear,nuclear_avg,0.719859,0.530519,0.816514,3,8
114,fusion,fusion_avg,0.745095,0.638275,0.841321,3,8
115,solar,solar_avg,0.612415,0.519716,0.711380,3,8
115,nuclear,nuclear_avg,0.723394,0.529183,0.811437,3,8
115,fusion,fusion_avg,0.750816,0.640986,0.837036,3,8
116,solar,solar_avg,0.614051,0.497808,0.714718,3,8
116,nuclear,nuclear_avg,0.723581,0.504273,0.814345,3,8
116,fusion,fusion_avg,0.749838,0.626588,0.839472,3,8
117,solar,solar_avg,0.608725,0.510359,0.718818,3,8
117,nuclear,nuclear_avg,0.719406,0.523168,0.820056,3,8
117,fusion,fusion_avg,0.745112,0.645600,0.844361,3,8
118,solar,solar_avg,0.589615,0.491260,0.689962,3,8
118,nuclear,nuclear_avg,0.693858,0.401417,0.793127,3,8
118,fusion,fusion_avg,0.719722,0.529263,0.815361,3,8
119,solar,solar_avg,0.590188,0.501331,0.692234,3,8
119,nuclear,nuclear_avg,0.693992,0.490553,0.794179,3,8
119,fusion,fusion_avg,0.720417,0.532149,0.816837,3,8
120,solar,solar_avg,0.616219,0.505249,0.705472,3,8
120,nuclear,nuclear_avg,0.720217,0.496917,0.805000,3,8
120,fusion,fusion_avg,0.745834,0.564887,0.831341,3,8
121,solar,solar_avg,0.609851,0.483783,0.711682,3,8
121,nuclear,nuclear_avg,0.718008,0.465322,0.814261,3,8
121,fusion,fusion_avg,0.743385,0.608800,0.835007,3,8
122,solar,solar_avg,0.609160,0.507402,0.705850,3,8
122,nuclear,nuclear_avg,0.719803,0.493723,0.807390,3,8
122,fusion,fusion_avg,0.745713,0.633375,0.831086,3,8
123,solar,solar_avg,0.609487,0.517740,0.709465,3,8
123,nuclear,nuclear_avg,0.719485,0.511851,0.810443,3,8
123,fusion,fusion_avg,0.745814,0.641596,0.835205,3,8
124,solar,solar_avg,0.610804,0.523769,0.703705,3,8
124,nuclear,nuclear_avg,0.719690,0.512821,0.804492,3,8
124,fusion,fusion_avg,0.746464,0.644321,0.828489,3,8
125,solar,solar_avg,0.598409,0.498703,0.686494,3,8
125,nuclear,nuclear_avg,0.701004,0.491852,0.790431,3,8
125,fusion,fusion_avg,0.725912,0.557199,0.811823,3,8
126,solar,solar_avg,0.592533,0.498134,0.688769,3,8
126,nuclear,nuclear_avg,0.695464,0.484837,0.792818,3,8
126,fusion,fusion_avg,0.721525,0.610562,0.813332,3,8
127,solar,solar_avg,0.615308,0.506962,0.721611,3,8
127,nuclear,nuclear_avg,0.720155,0.499538,0.821670,3,8
127,fusion,fusion_avg,0.745454,0.590385,0.845049,3,8
128,solar,solar_avg,0.610553,0.517798,0.709137,3,8
128,nuclear,nuclear_avg,0.721741,0.508229,0.810165,3,8
128,fusion,fusion_avg,0.745785,0.638055,0.833838,3,8
129,solar,solar_avg,0.610234,0.500231,0.709660,3,8
129,nuclear,nuclear_avg,0.721115,0.500502,0.812057,3,8
129,fusion,fusion_avg,0.746529,0.620918,0.834782,3,8
130,solar,solar_avg,0.608840,0.493208,0.715671,3,8
130,nuclear,nuclear_avg,0.720350,0.482071,0.817807,3,8
130,fusion,fusion_avg,0.743842,0.519693,0.840227,3,8
131,solar,solar_avg,0.611152,0.500910,0.717381,3,8
131,nuclear,nuclear_avg,0.722383,0.486769,0.818521,3,8
131,fusion,fusion_avg,0.745070,0.533390,0.842092,3,8
132,solar,solar_avg,0.594383,0.491987,0.685712,3,8
132,nuclear,nuclear_avg,0.697493,0.480232,0.788503,3,8
132,fusion,fusion_avg,0.721290,0.517154,0.811486,3,8
133,solar,solar_avg,0.594432,0.496242,0.680179,3,8
133,nuclear,nuclear_avg,0.697144,0.488419,0.783097,3,8
133,fusion,fusion_avg,0.720964,0.529115,0.804220,3,8
134,solar,solar_avg,0.613666,0.511146,0.713106,3,8
134,nuclear,nuclear_avg,0.718734,0.497267,0.811319,3,8
134,fusion,fusion_avg,0.742712,0.553735,0.834675,3,8
135,solar,solar_avg,0.616783,0.504469,0.720857,3,8
135,nuclear,nuclear_avg,0.723256,0.555860,0.823072,3,8
135,fusion,fusion_avg,0.749139,0.549997,0.843558,3,8
136,solar,solar_avg,0.607921,0.505696,0.718087,3,8
136,nuclear,nuclear_avg,0.718366,0.490747,0.819047,3,8
136,fusion,fusion_avg,0.743654,0.627690,0.844085,3,8
137,solar,solar_avg,0.615353,0.485179,0.715272,3,8
137,nuclear,nuclear_avg,0.726629,0.457758,0.815080,3,8
137,fusion,fusion_avg,0.750826,0.604447,0.839466,3,8
138,solar,solar_avg,0.610687,0.519684,0.711313,3,8
138,nuclear,nuclear_avg,0.720335,0.507662,0.813646,3,8
138,fusion,fusion_avg,0.746354,0.561759,0.836549,3,8
139,solar,solar_avg,0.592768,0.502621,0.677926,3,8
139,nuclear,nuclear_avg,0.694324,0.462454,0.780863,3,8
139,fusion,fusion_avg,0.719728,0.617390,0.803816,3,8
140,solar,solar_avg,0.591802,0.500307,0.678687,3,8
140,nuclear,nuclear_avg,0.697472,0.498278,0.781739,3,8
140,fusion,fusion_avg,0.720997,0.614363,0.804874,3,8
141,solar,solar_avg,0.619356,0.503262,0.707219,3,8
141,nuclear,nuclear_avg,0.721778,0.478318,0.806300,3,8
141,fusion,fusion_avg,0.747683,0.623229,0.831849,3,8
142,solar,solar_avg,0.613821,0.515109,0.713940,3,8
142,nuclear,nuclear_avg,0.721718,0.499679,0.814400,3,8
142,fusion,fusion_avg,0.749737,0.553583,0.839828,3,8
143,solar,solar_avg,0.607133,0.492441,0.718709,3,8
